Date,Year,MonthNumber,MonthName
2010-03-29,2010,3,March
2010-04-11,2010,4,April
2010-04-12,2010,4,April
2010-04-13,2010,4,April
2010-04-16,2010,4,April
2010-04-21,2010,4,April
2010-04-29,2010,4,April
2010-05-12,2010,5,May
2010-05-13,2010,5,May
2010-05-14,2010,5,May
2010-05-17,2010,5,May
2010-05-22,2010,5,May
2010-05-30,2010,5,May
2010-06-12,2010,6,June
2010-06-13,2010,6,June
2010-06-14,2010,6,June
2010-06-17,2010,6,June
2010-06-22,2010,6,June
2010-06-30,2010,6,June
2010-07-13,2010,7,July
2010-07-14,2010,7,July
2010-07-15,2010,7,July
2010-07-18,2010,7,July
2010-07-23,2010,7,July
2010-07-31,2010,7,July
2010-08-13,2010,8,August
2010-08-14,2010,8,August
2010-08-15,2010,8,August
2010-08-18,2010,8,August
2010-08-23,2010,8,August
2010-08-31,2010,8,August
2010-09-13,2010,9,September
2010-09-14,2010,9,September
2010-09-15,2010,9,September
2010-09-18,2010,9,September
2010-09-23,2010,9,September
2010-10-01,2010,10,October
2010-10-14,2010,10,October
2010-10-15,2010,10,October
2010-10-16,2010,10,October
2010-10-19,2010,10,October
2010-10-24,2010,10,October
2010-11-01,2010,11,November
2010-11-14,2010,11,November
2010-11-15,2010,11,November
2010-11-16,2010,11,November
2010-11-19,2010,11,November
2010-11-24,2010,11,November
2010-12-02,2010,12,December
2010-12-15,2010,12,December
2010-12-16,2010,12,December
2010-12-17,2010,12,December
2010-12-20,2010,12,December
2010-12-25,2010,12,December
2011-01-02,2011,1,January
2011-01-15,2011,1,January
2011-01-16,2011,1,January
2011-01-17,2011,1,January
2011-01-20,2011,1,January
2011-01-25,2011,1,January
2011-02-02,2011,2,February
2011-02-15,2011,2,February
2011-02-16,2011,2,February
2011-02-17,2011,2,February
2011-02-20,2011,2,February
2011-02-25,2011,2,February
2011-03-05,2011,3,March
2011-03-18,2011,3,March
2011-03-19,2011,3,March
2011-03-20,2011,3,March
2011-03-23,2011,3,March
2011-03-28,2011,3,March
2011-04-05,2011,4,April
2011-04-18,2011,4,April
2011-04-19,2011,4,April
2011-04-20,2011,4,April
2011-04-23,2011,4,April
2011-04-28,2011,4,April
2011-05-06,2011,5,May
2011-05-19,2011,5,May
2011-05-20,2011,5,May
2011-05-21,2011,5,May
2011-05-24,2011,5,May
2011-05-29,2011,5,May
2011-06-06,2011,6,June
2011-06-19,2011,6,June
2011-06-20,2011,6,June
2011-06-21,2011,6,June
2011-06-24,2011,6,June
2011-06-29,2011,6,June
2011-07-07,2011,7,July
2011-07-20,2011,7,July
2011-07-21,2011,7,July
2011-07-22,2011,7,July
2011-07-25,2011,7,July
2011-07-30,2011,7,July
2011-08-07,2011,8,August
2011-08-20,2011,8,August
2011-08-21,2011,8,August
2011-08-22,2011,8,August
2011-08-25,2011,8,August
2011-08-30,2011,8,August
2011-09-07,2011,9,September
2011-09-20,2011,9,September
2011-09-21,2011,9,September
2011-09-22,2011,9,September
2011-09-25,2011,9,September
2011-09-30,2011,9,September
2011-10-08,2011,10,October
2011-10-21,2011,10,October
2011-10-22,2011,10,October
2011-10-23,2011,10,October
2011-10-26,2011,10,October
2011-10-31,2011,10,October
2011-11-08,2011,11,November
2011-11-21,2011,11,November
2011-11-22,2011,11,November
2011-11-23,2011,11,November
2011-11-26,2011,11,November
2011-12-01,2011,12,December
2011-12-09,2011,12,December
2011-12-22,2011,12,December
2011-12-23,2011,12,December
2011-12-24,2011,12,December
2011-12-27,2011,12,December
2012-01-01,2012,1,January
2012-01-09,2012,1,January
2012-01-22,2012,1,January
2012-01-23,2012,1,January
2012-01-24,2012,1,January
2012-01-27,2012,1,January
2012-02-01,2012,2,February
2012-02-09,2012,2,February
2012-02-22,2012,2,February
2012-02-23,2012,2,February
2012-02-24,2012,2,February
2012-02-27,2012,2,February
2012-03-03,2012,3,March
2012-03-11,2012,3,March
2012-03-24,2012,3,March
2012-03-25,2012,3,March
2012-03-26,2012,3,March
2012-03-29,2012,3,March
2012-04-03,2012,4,April
2012-04-11,2012,4,April
2012-04-24,2012,4,April
2012-04-25,2012,4,April
2012-04-26,2012,4,April
2012-04-29,2012,4,April
2012-05-04,2012,5,May
2012-05-12,2012,5,May
2012-05-25,2012,5,May
2012-05-26,2012,5,May
2012-05-27,2012,5,May
2012-05-30,2012,5,May
2012-06-04,2012,6,June
2012-06-12,2012,6,June
2012-06-25,2012,6,June
2012-06-26,2012,6,June
2012-06-27,2012,6,June
2012-06-30,2012,6,June
2012-07-05,2012,7,July
2012-07-13,2012,7,July
2012-07-26,2012,7,July
2012-07-27,2012,7,July
2012-07-28,2012,7,July
2012-07-31,2012,7,July
2012-08-05,2012,8,August
2012-08-13,2012,8,August
2012-08-26,2012,8,August
2012-08-27,2012,8,August
2012-08-28,2012,8,August
2012-08-31,2012,8,August
2012-09-05,2012,9,September
2012-09-13,2012,9,September
2012-09-26,2012,9,September
2012-09-27,2012,9,September
2012-09-28,2012,9,September
2012-10-01,2012,10,October
2012-10-06,2012,10,October
2012-10-14,2012,10,October
2012-10-27,2012,10,October
2012-10-28,2012,10,October
2012-10-29,2012,10,October
2012-11-01,2012,11,November
2012-11-06,2012,11,November
2012-11-14,2012,11,November
2012-11-27,2012,11,November
2012-11-28,2012,11,November
2012-11-29,2012,11,November
2012-12-02,2012,12,December
2012-12-07,2012,12,December
2012-12-15,2012,12,December
2012-12-28,2012,12,December
2012-12-29,2012,12,December
2012-12-30,2012,12,December
2013-01-02,2013,1,January
2013-01-07,2013,1,January
2013-01-15,2013,1,January
2013-01-28,2013,1,January
2013-01-29,2013,1,January
2013-01-30,2013,1,January
2013-02-02,2013,2,February
2013-02-07,2013,2,February
2013-02-15,2013,2,February
2013-02-28,2013,2,February
2013-03-01,2013,3,March
2013-03-02,2013,3,March
2013-03-05,2013,3,March
2013-03-10,2013,3,March
2013-03-18,2013,3,March
2013-03-31,2013,3,March
2013-04-01,2013,4,April
2013-04-02,2013,4,April
2013-04-05,2013,4,April
2013-04-10,2013,4,April
2013-04-18,2013,4,April
2013-05-01,2013,5,May
2013-05-02,2013,5,May
2013-05-03,2013,5,May
2013-05-06,2013,5,May
2013-05-11,2013,5,May
2013-05-19,2013,5,May
2013-06-01,2013,6,June
2013-06-02,2013,6,June
2013-06-03,2013,6,June
2013-06-06,2013,6,June
2013-06-11,2013,6,June
2013-06-19,2013,6,June
2013-07-02,2013,7,July
2013-07-03,2013,7,July
2013-07-04,2013,7,July
2013-07-07,2013,7,July
2013-07-12,2013,7,July
2013-07-20,2013,7,July
2013-08-02,2013,8,August
2013-08-03,2013,8,August
2013-08-04,2013,8,August
2013-08-07,2013,8,August
2013-08-12,2013,8,August
2013-08-20,2013,8,August
2013-09-02,2013,9,September
2013-09-03,2013,9,September
2013-09-04,2013,9,September
2013-09-07,2013,9,September
2013-09-12,2013,9,September
2013-09-20,2013,9,September
2013-10-03,2013,10,October
2013-10-04,2013,10,October
2013-10-05,2013,10,October
2013-10-08,2013,10,October
2013-10-13,2013,10,October
2013-10-21,2013,10,October
2013-11-03,2013,11,November
2013-11-04,2013,11,November
2013-11-05,2013,11,November
2013-11-08,2013,11,November
2013-11-13,2013,11,November
2013-11-21,2013,11,November
2013-12-04,2013,12,December
2013-12-05,2013,12,December
2013-12-06,2013,12,December
2013-12-09,2013,12,December
2013-12-14,2013,12,December
2013-12-22,2013,12,December
